"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 27 18:34:27 CST 2021","Tue Jul 27 18:34:27 CST 2021","15","Cases","test01","Test01","","","test01[case15]",""
"broken","Tue Jul 27 18:34:26 CST 2021","Tue Jul 27 18:34:26 CST 2021","10","Cases","test01","Test01","","","test01[case10]",""
"broken","Tue Jul 27 18:34:25 CST 2021","Tue Jul 27 18:34:25 CST 2021","17","Cases","test01","Test01","","","test01[case6]",""
"broken","Tue Jul 27 18:34:27 CST 2021","Tue Jul 27 18:34:27 CST 2021","11","Cases","test01","Test01","","","test01[case14]",""
"broken","Tue Jul 27 18:34:30 CST 2021","Tue Jul 27 18:34:30 CST 2021","9","Cases","test01","Test01","","","test01[case24]",""
"broken","Tue Jul 27 18:34:24 CST 2021","Tue Jul 27 18:34:24 CST 2021","20","Cases","test01","Test01","","","test01[case2]",""
"broken","Tue Jul 27 18:34:28 CST 2021","Tue Jul 27 18:34:28 CST 2021","11","Cases","test01","Test01","","","test01[case16]",""
"broken","Tue Jul 27 18:34:30 CST 2021","Tue Jul 27 18:34:30 CST 2021","9","Cases","test01","Test01","","","test01[case25]",""
"broken","Tue Jul 27 18:34:28 CST 2021","Tue Jul 27 18:34:28 CST 2021","11","Cases","test01","Test01","","","test01[case17]",""
"broken","Tue Jul 27 18:34:24 CST 2021","Tue Jul 27 18:34:24 CST 2021","15","Cases","test01","Test01","","","test01[case3]",""
"broken","Tue Jul 27 18:34:25 CST 2021","Tue Jul 27 18:34:25 CST 2021","10","Cases","test01","Test01","","","test01[case4]",""
"broken","Tue Jul 27 18:34:29 CST 2021","Tue Jul 27 18:34:29 CST 2021","16","Cases","test01","Test01","","","test01[case21]",""
"broken","Tue Jul 27 18:34:30 CST 2021","Tue Jul 27 18:34:30 CST 2021","11","Cases","test01","Test01","","","test01[case23]",""
"broken","Tue Jul 27 18:34:29 CST 2021","Tue Jul 27 18:34:29 CST 2021","16","Cases","test01","Test01","","","test01[case20]",""
"broken","Tue Jul 27 18:34:27 CST 2021","Tue Jul 27 18:34:27 CST 2021","15","Cases","test01","Test01","","","test01[case12]",""
"broken","Tue Jul 27 18:34:28 CST 2021","Tue Jul 27 18:34:28 CST 2021","15","Cases","test01","Test01","","","test01[case18]",""
"broken","Tue Jul 27 18:34:25 CST 2021","Tue Jul 27 18:34:25 CST 2021","24","Cases","test01","Test01","","","test01[case7]",""
"broken","Tue Jul 27 18:34:27 CST 2021","Tue Jul 27 18:34:27 CST 2021","11","Cases","test01","Test01","","","test01[case13]",""
"broken","Tue Jul 27 18:34:24 CST 2021","Tue Jul 27 18:34:24 CST 2021","11","Cases","test01","Test01","","","test01[case1]",""
"broken","Tue Jul 27 18:34:29 CST 2021","Tue Jul 27 18:34:29 CST 2021","19","Cases","test01","Test01","","","test01[case19]",""
"broken","Tue Jul 27 18:34:26 CST 2021","Tue Jul 27 18:34:26 CST 2021","11","Cases","test01","Test01","","","test01[case9]",""
"broken","Tue Jul 27 18:34:30 CST 2021","Tue Jul 27 18:34:30 CST 2021","9","Cases","test01","Test01","","","test01[case26]",""
"broken","Tue Jul 27 18:34:22 CST 2021","Tue Jul 27 18:34:22 CST 2021","14","Cases","test01","Test01","","","test01[case0]",""
"broken","Tue Jul 27 18:34:29 CST 2021","Tue Jul 27 18:34:29 CST 2021","10","Cases","test01","Test01","","","test01[case22]",""
"broken","Tue Jul 27 18:34:26 CST 2021","Tue Jul 27 18:34:26 CST 2021","10","Cases","test01","Test01","","","test01[case8]",""
"broken","Tue Jul 27 18:34:25 CST 2021","Tue Jul 27 18:34:25 CST 2021","11","Cases","test01","Test01","","","test01[case5]",""
"broken","Tue Jul 27 18:34:26 CST 2021","Tue Jul 27 18:34:26 CST 2021","17","Cases","test01","Test01","","","test01[case11]",""
